Unnamed: 0,Brand me,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
0,"LG V30+ (Black, 128 )",4.3,4,128,6,48,13,4000,24999
1,I Kall K11,3.4,6,64,4.5,48,12,4000,15999
2,Nokia 105 ss,4.3,4,4,4.5,64,16,4000,15000
3,"Samsung Galaxy A50 (White, 64 )",4.4,6,64,6.4,48,15,3800,18999
4,"POCO F1 (Steel Blue, 128 )",4.5,6,128,6.18,35,15,3800,18999
5,"Apple iPhone 11 Pro (Space Grey, 512 )",4.7,8,128,5.8,35,12,5000,140300
6,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8,128,6.7,64,5,4700,29999
7,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8,128,6.7,48,12,4700,47999
8,"OPPO A9 (Marble Green, 128 )",4.4,4,128,6.53,48,2,4020,16490
9,"POCO F1 (Graphite Black, 256 )",4.5,8,256,6.18,35,5,3800,22999
10,Megus Ultra,3.9,6,32,4.54,64,8,4100,1099
11,Jmax M40 Coo of Two,3.8,6,32,4.5,64,8,1050,1299
12,"Wizphone WP (Black, 16 )",,2,16,5.5,8,,4200,5498
13,Easyfone Star,3.8,6,32,4.7,64,8,3000,3999
14,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8,256,6.67,48,8,3800,43999
15,"OnePlus 7 Pro (Mirror Grey, 128 )",4.6,6,128,6.67,48,8,3800,42990
16,Kechaoda A27,4.1,6,32,3.7,64,,4700,990
17,"Samsung Galaxy S20+ (Cloud Blue, 128 )",4.5,8,128,6.7,64,1,4700,77999
18,"Samsung Galaxy S10 Lite (Prism Black, 512 )",4.5,8,128,6.7,48,12,4700,47999
19,"OPPO A5s (Red, 32 )",4.3,2,32,6.2,38,2,4230,12990
20,InFocus POWER 2,4.1,8,64,4.54,64,,2500,1199
21,Blacear I7 Trio,3.7,6,32,2,64,13,1550,1699
22,Karbonn K451 Power,3.8,6,32,4.54,48,,3000,1349
23,Micax X742,3.8,6,32,4.54,25,23,3000,1240
24,Snexian Guru 332,,6,32,4.5,64,32,3000,649
25,Snexian Guru 332,,6,32,4.5,64,13,3000,649
26,Blacear i7 Trio,3.8,12,24,2,64,,1550,1690
27,Karbonn K334,3.7,6,32,4.77,48,,1750,927
28,Lava Prime X,4.1,,32,4.5,64,23,3000,1599
29,I Kall K23 New Mobile,3.6,8,32,4.5,48,,3000,649
30,InFocus Selfie C1,3.9,6,32,4.5,64,15,3000,999
31,"LG G8X (Black, 128 )",4.5,6,128,6.4,35,13,3800,54990
32,"Gee A1 (Grey, 64 )",4,4,64,5.5,38,1,4010,21499
33,"Tecno Camon 15 Pro (Opal White, 128 )",4.2,6,128,6.53,48,2,3800,15999
34,Lava A7,4.2,6,24,4.54,48,,1750,1799
35,"Apple iPhone XR ((PRODUCT)RED, 128 )",4.6,12,128,6.1,35,7,3500,573000
36,Micax X749,4.2,6,32,4.54,48,18,1750,1549
37,Itel it2161,4,6,32,4.5,48,,3000,847
38,Karbonn K-Pebble,3.9,12,12,4.54,48,13,3000,1579
39,Karbonn KX21,3.9,6,32,4.54,48,5,3000,1330
40,Inovu A9,3.6,6,32,4.54,38,,1200,945
41,Inovu A9,3.6,6,32,4.54,38,0,1200,945
42,"LG Q Stylus (Black, 32 )",3.8,3,32,6.2,48,8,3000,15899
43,"OPPO R17 Pro (Emerald Green, 128 )",4.1,8,128,6.4,35,20,3000,31590
44,Micax X516,3.9,6,32,4.77,48,,1750,1451
45,"Meizu C9 Pro (Black, 32 )",4.1,3,32,5.4,38,5,3000,7490
46,Jivi R21Plus,4.3,1,16,4.5,48,,3000,798
47,Jivi R21Plus,4.3,1,16,4.5,48,2,3000,869
48,Nokia 3310 DS,3.8,4,64,4.54,48,,1200,3580
49,Lava 34 ,4,6,32,4.54,64,14,2500,1695
50,Easyfone Amico,3.5,6,32,4.52,48,,3800,2599
51,"Apple iPhone 11 Pro Max (Gold, 64 )",4.7,8,64,6.5,35,12,3000,117100
52,"Samsung Galaxy S8 Plus (Midnight Black, 64 )",4.6,4,64,6.2,35,8,3500,53990
53,"Black Shark 2 (Shadow Black, 128 )",4.4,6,128,6.39,48,12,3800,31999
54,Karbonn K24 Plus Pro,3.8,6,32,4.54,48,,2800,1299
55,InFocus POWER 2,4.1,8,64,4.54,64,13,2500,1390
56,InFocus Vibe 1,3.6,6,32,4.5,48,,3000,898
57,Blacear B5 Grip,3.5,6,32,4.5,64,17,1050,799
58,"Apple iPhone 11 Pro (Space Grey, 256 )",4.7,12,256,5.8,35,12,3800,121300
59,JIVI JV 12M,3.7,10,32,4.5,64,,3000,799
60,"Alcatel 5V (Spectrum Blue, 32 )",4.4,3,32,6.2,48,1,3800,9790
61,Kechaoda A32,3.8,6,32,4.4,48,,3000,930
62,Kechaoda A32,3.8,6,32,4.4,48,,3000,930
63,"Redmi Note 5 Pro (Gold, 64 )",4.5,6,64,5.99,35,5,3800,13999
64,Salora Vishaal,3.8,6,32,4.54,64,,4100,1149
65,"Redmi K20 (Flame Red, 128 )",4.5,6,128,6.39,48,13,3800,24999
66,"Apple iPhone 8 (PRODUCT)RED (Red, 256 )",4.7,12,256,4.7,35,7,5000,56999
67,"Apple iPhone 11 (Yellow, 64 )",4.7,8,64,6.1,35,12,3800,68300
68,"Gee F103 Pro (Grey, 16 )",3.9,3,16,5,38,5,4200,8798
69,"Gee F103 Pro (Gold, 16 )",3.9,3,16,5,38,5,4200,8990
70,Easyfone Elite,4.1,6,32,4.54,48,,3000,3149
71,JIVI 12M,3.6,1,32,4.5,48,10,3500,799
72,Karbonn K2 Boom Box,3.9,6,32,4.5,48,,3000,999
73,"Nexus 6P Special Edit (Gold, 64 )",4.3,3,64,5.7,35,18,3500,42998
74,"OPPO F15 (Lightening Black, 128 )",4.4,8,128,6.4,48,8,3800,18990
75,"Apple iPhone 11 Pro (Gold, 64 )",4.7,8,64,5.8,35,12,3500,106600
76,Dublin D614,,6,64,4.54,48,,2800,649
77,Karbonn KX23,4,6,32,4.54,48,,1900,1349
78,"LG Q6 (Black, 32 )",4,3,32,5.5,38,5,3000,103000
79,"OPPO K1 (Piano Black, 64 )",4.4,6,64,6.41,48,2,3600,18989
80,"Redmi Note 7 Pro (Neptune Blue, 128 )",4.4,6,128,6.3,48,5,3800,17990
81,Nokia 150/150 DS,4.2,4,4,4.54,48,,1020,1500
82,Kechaoda K112,3.9,6,64,4.54,48,,3600,1799
83,Itel it5260,,6,32,4.54,48,32,1900,1570
84,"OPPO Reno2 (Ocean Blue, 256 )",4.5,8,256,6.5,48,8,3800,38990
85,Jivi N9030,3.9,1,16,4.58,48,8,3000,1399
86,Inovu A7,3.4,6,32,4.77,48,,3000,785
87,Easyfone Udaan,4,6,32,4.77,48,,3000,2100
88,"Gee S11 Lite (Gold, 32 )",4,4,32,5.7,38,2,3030,9999
89,Nokia 105 Dual Sim 2017,4.2,4,4,4.5,64,,3500,1149
90,Jivi N300 New,3.9,5,32,4.54,48,8,3000,1049
91,Jivi N300 New,3.9,5,32,4.54,48,8,3000,999
92,Micax X940,3.8,12,56,4.57,48,10,3000,1799
93,Samsung Guru 1200,4.3,,64,4.4,64,,3500,1100
94,Samsung Guru FM Plus,4.2,3,,,64,,3800,1790
95,Ssky S9007 Rainbow,3.6,6,32,4.54,64,8,2800,1125
96,Samsung Guru Music 2,4.3,,64,2,64,,3500,1625
97,Q-Tel Q8,3.4,6,32,4.77,48,8,3000,559
98,Ssky S-40 Prime,3.7,6,32,4.5,64,,3000,749
99,"Redmi K20 Pro (Pearl White, 256 )",4.5,8,256,6.39,48,13,3800,29999
100,"OPPO A3s (Purple, 32 )",4.3,3,32,6.2,38,2,4230,8990
101,"OPPO A83 (Chaagne, 16 )",4.2,2,16,5.7,38,8,3180,9490
102,"OPPO A5s (Black, 32 )",4.3,3,32,6.2,38,2,4230,9490
103,"Vivo Y66 (Crown Gold, 32 )",4.3,3,32,5.5,38,1,3000,14990
104,Micax X772,3.9,4,20,4.54,48,,3700,1499
105,"Vivo V7 (Gold, 32 )",4.4,4,32,5.7,48,2,3000,18990
106,"Vivo X21 (Black, 128 )",4.2,6,128,6.28,35,5,3200,36990
107,I Kall K3310,3.7,6,64,4.5,48,,3000,649
108,"Redmi K20 (Pearl White, 64 )",4.5,6,64,6.39,48,13,3800,21999
109,GAMMA K 28,,6,32,4.5,48,,3000,1099
110,GAMMA K2 no,3.9,6,32,4.8,48,,3000,940
111,"Samsung Galaxy S20+ (Cosmic Black, 128 )",4.5,8,128,6.7,64,1,4700,77999
112,Karbonn KX1,3.9,6,32,4.5,48,,3000,899
113,"Redmi K20 (Carbon Black, 128 )",4.5,6,128,6.39,48,13,3800,24999
114,"Mi A3 (More Than White, 128 )",4.2,6,128,6.08,48,8,4030,14990
115,"Apple iPhone XR (Yellow, 128 )",4.6,12,64,6.1,35,7,3500,573000
116,Kechaoda K9,4.1,6,64,4.54,48,,3700,1250
117,Nokia 216/216 DS,4.3,4,64,4.54,48,20,1020,2450
118,JIVI N3720 Power,4.1,1,16,4.58,48,8,3800,2299
119,BlackZone Neo-B,4,6,32,4.77,48,8,1100,685
120,Micax X707,3.6,6,2.4,,48,,3000,1190
121,Lava One,4.1,6,25,4.54,48,12,3000,1369
122,Muphone MU M360,4.3,6,32,4.4,64,,3000,960
123,Micax Flash X910,3.7,4,40,4.58,48,8,3800,1799
124,I Kall K3310,3.7,6,64,4.5,48,,3000,639
125,I Kall K27 New,3.5,6,64,4.5,48,8,3000,639
126,"OPPO A5s (Blue, 32 )",4.3,3,32,6.2,38,2,4230,13744
127,Micax X412,3.9,6,32,4.77,64,,4600,1399
128,I Kall K 15,3.5,6,64,4.5,48,12,3000,639
129,"Vivo Y81 (Gold, 32 )",4.3,4,32,6.22,38,5,3260,13950
130,Karbonn K49,3.8,6,32,4.54,48,,3500,1149
131,"MI3 (Metallic Grey, 16 )",4.4,2,16,5,38,2,3050,13999
132,Karbonn K Pebble,4,6,32,4.54,48,,3000,1690
133,Grabo G100,3.7,8,64,4.5,48,5,3000,479
134,Samsung Metro 313 Dual Sim,4.2,4,22,4.503,48,,3000,2025
135,"Apple iPhone 11 Pro Max (Silver, 64 )",4.7,8,64,6.5,35,12,3500,117100
136,"OPPO R17 (Aient Blue, 128 )",,8,128,6.4,48,,3500,22999
137,"OPPO R17 (Neon Purple, 128 )",,8,128,6.4,48,5,3500,22999
138,Salora Kiano,3.9,6,32,4.54,64,,1200,1299
139,Samsung Guru GT,4.1,4,,4.4,64,,3500,1549
140,"Redmi Note 8 (Cosmic Purple, 128 )",4.4,6,128,6.3,48,1,3800,153000
141,MTR MT 310,3.7,8,64,4.5,48,6,3000,650
142,Lava A7,4.2,6,24,4.54,48,,1750,1599
143,I Kall K18 New Coo of Two Mobiles,3.6,6,64,4.5,48,4,3000,1199
144,"Karbonn Titanium S4 (Black, 4 )",3.4,1,4,4.7,38,2,2800,13298
145,MTR Mt312,3.6,8,64,4.77,48,,3000,650
146,"Redmi Note 6 Pro (Black, 64 )",4.5,6,64,6.26,35,5,3800,17999
147,"Samsung Galaxy A21s (White, 64 )",4.2,4,64,6.5,48,8,5000,16499
148,"Nokia 7.2 (Charcoal, 64 )",4.2,6,64,6.3,48,5,3500,18099
149,MTR Sima,4.2,8,64,4.77,48,,3000,699
150,"Lava Z61 (Gold, 16 )",4.1,1,16,5.4,8,5,3000,6999
151,MTR Ba,4.3,8,64,4.77,48,5,3000,649
152,I Kall K73,3.2,6,64,4.5,64,8,3500,539
153,Itel It 5605n,4.1,6,32,4.77,48,,2500,1099
154,Karbonn K338N,3.7,6,32,4.54,38,16,3000,1299
155,MTR Shakti,4.1,6,32,4.77,48,,3000,649
156,I Kall K3312,3.5,6,64,4.5,48,8,3000,749
157,MTR Shakti,4.1,6,32,4.5,48,16,3000,649
158,"Honor 8X (Black, 128 )",4.4,6,128,6.5,40,2,3750,13699
159,Karbonn K140 Pop,3.9,6,32,4.5,48,,3000,813
160,GAMMA K1 no,3.8,6,32,44,48,8,3000,890
161,"Vivo S1 (Diamond Black, 64 )",4.4,6,64,6.38,48,8,4700,18999
162,Karbonn K19 Rock,3.9,6,32,4.5,48,,1750,999
163,I Kall K22 New,3.6,6,64,4.5,48,,3000,649
164,I Kall K3310 Coo Of Two Mobile,3.7,6,64,4.5,48,12,3000,1199
165,Micax X773,3.8,25,25,4.54,48,,3000,1199
166,Samsung Guru 1200,4.3,,64,4.4,64,8,3500,1200
167,Tork T13 Ba,4.1,6,32,4.54,48,8,3000,899
168,"Honor 9N (Midnight Black, 64 )",4.3,4,64,4.8,38,2,3000,15999
169,Lava H1 Hero 600,4,12,24,4.5,48,,3500,799
170,"Samsung Galaxy A80 (Phantom Black, 128 )",4.4,8,128,6.7,48,8,3000,52962
171,I Kall K3312,3.5,6,64,4.5,48,20,3000,1299
172,Inovu A7i,3.4,6,32,4.77,48,,3500,735
173,"Alcatel 5V (Spectrum Black, 32 )",4.4,3,32,6.2,48,16,3800,12999
174,"Mi A2 (Blue/Lake Blue, 64 )",4.2,4,64,5.99,40,12,3010,14990
175,"Mi A3 (Not just Blue, 128 )",4.2,6,128,6.08,48,8,4030,17190
176,"Samsung Galaxy S8 Plus (Maple Gold, 64 )",4.6,4,64,6.2,35,8,3500,53990
177,InFocus VIBE 2,4.2,6,32,4.54,64,,3000,990
178,"Realme C2 (Diamond Blue, 16 )",4.4,2,16,6.1,38,2,3800,6499
179,"Honor 8X (Blue, 64 )",4.4,6,64,6.5,40,2,3750,19999
180,I Kall K 2180 Coo of Two Mobiles,3.8,6,32,4.5,48,,3000,1199
181,Lava A1 ,4.1,4,3,4.5,48,12,3000,949
182,Itel It 2163,4,6,32,4.5,48,8,3500,948
183,Callbar A35S,3.4,0,64,4.5,48,,3000,595
184,Easyfone Elite,4.1,6,32,4.54,48,8,3000,3149
185,"POCO F1 (Rosso Red, 64 )",4.5,6,64,6.18,35,5,3800,21999
186,I Kall K55 Coo Of Two Mobile,3.5,6,64,4.5,48,16,3000,1199
187,I Kall K55 Coo Of Two Mobile,3.5,6,64,4.5,48,,3000,1199
188,"Yuho O1 (Onyx Black, 16 )",3.3,2,16,5,8,,2000,7199
189,InFocus Hero Selfie C1,3.9,6,32,4.5,64,20,3000,950
190,JIVI JV 12M,4,30,0,4.5,64,,3500,799
191,"Vivo V17Pro (Glacier Ice White, 128 )",4.5,8,128,6.44,48,13,4100,253000
192,Samsung Metro 313 Dual Sim,4.2,4,2,2,48,,3000,2025
193,I Kall K25 New,3.5,6,64,4.5,48,20,3000,669
194,Itel It2171,4.1,6,32,4.5,48,,3000,849
195,Itel It2171,4.1,6,32,4.5,48,20,3000,850
196,I Kall lk22 new,3.6,6,64,4.5,48,,3000,639
197,Itel It 5022,4.1,6,32,4.54,48,20,3000,1199
198,"Apple iPhone XS (Silver, 256 )",4.7,12,64,5.8,35,12,3500,84900
199,"Honor 9N (Midnight Black, 128 )",4.3,4,128,5.84,38,2,3000,19999
200,InFocus F229,4,6,32,4.54,48,,3000,1640
201,GreenBerry 312,3.4,6,64,4.5,48,20,3000,599
202,I Kall K3310 Coo Of Two Mobile,3.7,6,64,4.5,48,20,3000,1199
203,"Vivo Y81 (Black, 32 )",4.4,3,32,6.1,38,5,3260,13990
204,Mymax A12,4,6,32,4.5,64,,3000,599
205,Intex Eco Selfie 2,3.9,34,64,4.5,48,21,3000,955
206,"Samsung Galaxy S10e (Prism Black, 128 )",4.5,6,128,5.8,48,12,3100,59000
207,I Kall K71 Coo Of Two Mobile,3.2,6,64,44,48,,3500,899
208,Itel It 2190,4.1,6,32,4.5,48,20,3000,1111
209,Itel It 2190,4.1,6,32,4.5,48,15,3000,1099
210,Trio T6*,3.3,6,25,4.54,64,,3000,715
211,MTR Sima,4.2,8,64,4.77,48,32,3000,749
212,Itel IT5025,3.9,6,32,4.54,48,,1200,1199
213,"Redmi 8A Dual (Midnight Grey, 64 )",4.3,3,64,6.22,38,2,5000,9998
214,F-Fook F22,3.5,1,20,4.54,48,,2800,849
215,"Vivo Y17 (Mystic Purple, 128 )",4.4,4,128,6.35,38,2,5000,13900
216,Tork T13 Ba,4.1,6,32,4.54,48,5,3000,850
217,Nokia 3310 DS,3.8,4,64,4.54,48,,1200,4399
218,"Mi A3 (Kind of Grey, 128 )",4.2,6,128,6.08,48,8,4030,17398
219,I Kall K11,3.4,6,64,4.5,48,5,3000,1099
220,Ecotel E17,3.6,6,20,4.5,48,,3000,599
221,"Honor 9N (Sapphire Blue, 128 )",4.3,4,128,5.84,38,2,3000,19999
222,Heemax H10,,6,32,4.5,48,,2500,799
223,"Apple iPhone XS (Silver, 512 )",4.7,8,64,5.8,35,12,3500,112450
224,"OPPO F11 Pro (Aurora Green, 64 )",4.4,6,64,6.5,48,5,3800,24990
225,I kall k6300 NEW,3.9,6,32,4.58,48,5,3000,1499
226,"OPPO F9 Pro (Sunrise Red, 64 )",4.5,6,64,6.3,48,2,3500,19990
227,Forme Turbo1,4.8,12,15,4.5,35,,2800,899
228,Karbonn K5 Plus,4,6,32,4.5,38,32,1750,999
229,Lava 34 ,3.9,8,64,4.54,64,32,2500,1710
230,Heemax H1 Star,3.1,6,32,4.5,48,,3000,599
231,I Kall K99 Coo Of Two Mobile,3.5,6,64,4.5,48,21,3000,1099
232,"Vivo V7+ (Gold, 64 )",4.4,4,64,5.99,48,2,3225,22221
233,Peace FM1,3.5,8,32,4.5,48,13,2500,799
234,Itel It 2161,4,6,32,4.5,48,13,3500,899
235,ITEL IT5025,3.9,6,32,4.54,48,,1200,1273
236,MTR BA,4.3,8,64,4.77,48,,3000,649
237,I Kall K88 Coo Of Two Mobile,3.5,6,64,4.5,48,12,3000,1099
238,"Apple iPhone 8 Plus (Gold, 64 )",4.6,8,64,5.5,35,12,3500,49900
239,"Samsung Galaxy Note 10 (Aura Black, 256 )",4.5,8,256,6.3,35,12,3500,75000
240,"tecno Camon i Click (Gold, 64 )",4.4,4,64,6,48,,3750,11950
241,Itel Muzik 3000,4.1,4,4,4.54,48,12,3000,1540
242,I Kall K71 Coo of Two Mobile,3.2,6,64,44,48,,3500,899
243,Lava A7,4.2,6,24,4.54,48,12,1750,1480
244,I Kall K3310,3.7,6,64,4.5,48,,3000,639
245,Forme Duos N2,4.1,6,32,4.5,48,0,1050,849
246,Kechaoda K35,4,6,32,4.58,48,20,3700,1300
247,I Kall K44 Coo of Two Mobiles,3.6,6,64,4.5,48,,3000,1199
248,I Kall K11,3.4,6,64,4.5,48,14,3000,599
249,MTR Mt310,3.8,8,64,4.77,48,,3000,649
250,Mafe Leo,3.8,6,64,4.5,48,11,3500,870
251,Karbonn k106s,,10,10,4.5,48,11,3000,920
252,Ssky S3500,3,6,35,4.54,48,23,2800,949
253,Itel It 2161,4,6,32,4.5,48,32,3500,998
254,I Kall K20 New Coo of Two Mobiles,3.4,6,64,4.5,48,8,3000,1199
255,Jivi Ba 6,3.9,6,32,4.54,48,0,3000,1200
256,I Kall K28,3.4,6,64,4.54,20,8,3500,639
257,Itel It2171,4.1,6,32,4.5,48,,3000,3000
258,"Honor Play (Midnight Black, 64 )",4.5,6,64,6.3,48,2,3750,25999
259,I Kall K20 New,3.5,6,64,4.5,48,8,3000,639
260,I Kall K20 New,3.5,6,64,4.5,48,,3000,639
261,Itel It 5605n,4.1,6,32,4.77,48,5,2500,1225
262,Karbonn KX21,3.9,6,32,4.54,48,,3000,1049
263,"I Kall K200 (Red, 16 )",3.5,2,16,5.5,5,5,2500,4999
264,"Infinix Hot 9 (Ocean Wave, 64 )",4.6,4,64,6.6,38,2,5000,9499
265,"Realme rzo 10 (That Green, 128 )",4.5,4,128,6.5,48,8,5000,11999
266,"Realme rzo 10 (That White, 128 )",4.5,4,128,6.5,48,8,5000,11999
267,"Realme rzo 10 (That Blue, 128 )",4.5,4,128,6.5,48,8,5000,11999
268,"Redmi Note 8 Pro (Halo White, 128 )",4.4,6,128,6.53,64,8,4700,16999
269,"Realme 6 (Comet White, 128 )",4.4,6,128,6.5,64,8,4700,16999
270,"POCO X2 (Matrix Purple, 64 )",4.5,6,64,6.67,64,8,4700,17499
271,"Realme 6 Pro (Lightning Blue, 64 )",4.5,6,64,6.6,64,12,4700,17999
272,"OPPO A9 2020 (Marine Green, 128 )",4.4,4,128,6.5,48,8,5000,16990
273,"Vivo U10 (Thunder Black, 32 )",4.4,3,32,6.35,38,8,5000,10990
274,"Motorola One Fus+ (Twilight Blue, 128 )",4.5,6,128,6.5,64,8,5000,17499
275,"Vivo U10 (Electric Blue, 32 )",4.4,3,32,6.35,38,8,5000,10990
276,"OPPO A12 (Blue, 32 )",4.3,3,32,6.22,38,2,4230,9990
277,"OPPO A12 (Black, 32 )",4.3,3,32,6.22,38,2,4230,9990
278,"Tecno Spark Power 2 (Misty Grey, 64 )",4.3,4,64,7,48,5,6000,9999
279,"Tecno Spark Power 2 (Ice Jadeite, 64 )",4.3,4,64,7,48,5,6000,9999
280,"OPPO A31 (Fantasy White, 64 )",4.3,4,64,6.5,35,2,4230,12490
281,"OPPO A9 2020 (Space Purple, 128 )",4.3,8,128,6.5,48,8,5000,15990
282,"OPPO A5s (Blue, 32 )",4.3,2,32,6.2,38,2,4230,8990
283,"Vivo Y15 (Aqua Blue, 64 )",4.4,4,64,6.35,38,2,5000,12900
284,"Samsung Galaxy M01 (Black, 32 )",4.3,3,32,5.7,38,2,3800,9939
285,"Vivo Y12 (Aqua Blue, 64 )",4.4,3,64,6.35,38,2,5000,12649
286,"Samsung Galaxy M01 (Blue, 32 )",4.3,3,32,5.7,38,2,3800,9987
287,I Kall K11,3.4,6,64,4.5,48,,3000,599
288,Nokia 105 ss,4.3,4,4,4.5,64,,3500,3000
289,"Samsung Galaxy A50 (White, 64 )",4.4,6,64,6.4,48,5,3800,18999
290,"POCO F1 (Steel Blue, 128 )",4.5,6,128,6.18,35,5,3800,18999
291,"Apple iPhone 11 Pro (Space Grey, 512 )",4.7,8,64,5.8,35,12,3500,140300
292,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8,128,6.7,64,5,4700,29999
293,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8,128,6.7,48,12,4700,47999
294,"OPPO A9 (Marble Green, 128 )",4.4,4,128,6.53,48,2,4020,16490
295,"POCO F1 (Graphite Black, 256 )",4.5,8,256,6.18,35,5,3800,22999
296,Megus Ultra,3.9,6,32,4.54,64,,4100,1099
297,Jmax M40 Coo of Two,3.8,6,32,4.5,64,,1050,1299
298,"Wizphone WP (Black, 16 )",,2,16,5.5,8,8,4200,5498
299,Easyfone Star,3.8,6,32,4.7,64,,4300,3999
300,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8,256,6.67,48,8,3800,43999
301,"OnePlus 7 Pro (Mirror Grey, 128 )",4.6,6,128,6.67,48,8,3800,42990
302,Kechaoda A27,4.1,6,32,3.7,64,,3500,990
303,"Samsung Galaxy S20+ (Cloud Blue, 128 )",4.5,8,128,6.7,64,1,4700,77999
304,"Samsung Galaxy S10 Lite (Prism Black, 512 )",4.5,8,128,6.7,48,12,4700,47999
305,"OPPO A5s (Red, 32 )",4.3,2,32,6.2,38,2,4230,12990
306,InFocus POWER 2,4.1,8,64,4.54,64,,2500,1199
307,Blacear I7 Trio,3.7,6,32,2,64,,1550,1699
308,Karbonn K451 Power,3.8,6,32,4.54,48,8,3000,1349
309,Micax X742,3.8,6,32,4.54,25,,3000,1240
310,Snexian GURU 106,,6,32,4.5,25,8,1080,649
311,Snexian Guru 106,,6,32,4.5,25,8,1080,649
312,Micax X512,3.9,4,24,4.77,48,8,1750,984
313,Kechaoda K10,4,6,32,3.7,16,8,3000,975
314,Kechaoda K66 Plus,4.1,6,64,4.5,48,,3000,985
315,"Redmi K20 Pro (Carbon Black, 128 )",4.5,6,128,6.39,48,13,3800,24999
316,Micax X809,3.9,6,32,4.54,25,,3000,1329
317,I Kall K6610,3.5,6,64,4.5,48,,3000,599
318,"OnePlus 7T (Glacier Blue, 256 )",4.6,8,256,6.55,48,1,3000,38050
